Date,BRK-A,CL=F,GC=F,KE=F,NG=F,SQM,TSLA,ZF=F,ZR=F
2016-02-04,192200.0,31.719999313354492,1157.5999755859375,459.75,1.972000002861023,10.589662551879883,11.688667297363281,121.078125,1105.0
2016-02-05,190820.0,30.889999389648438,1157.800048828125,454.0,2.062999963760376,10.388386726379395,10.84000015258789,121.0390625,1112.0
2016-02-08,191255.0,29.690000534057617,1197.9000244140625,445.5,2.140000104904175,10.180617332458496,9.866000175476074,121.5546875,1092.0
2016-02-09,192635.0,27.940000534057617,1198.699951171875,445.0,2.0980000495910645,9.927403450012207,9.883333206176758,121.53125,1076.0
2016-02-10,190520.0,27.450000762939453,1194.699951171875,444.75,2.0460000038146973,9.933895111083984,9.57800006866455,121.59375,1113.0
2016-02-11,190000.0,26.209999084472656,1247.9000244140625,444.0,1.99399995803833,9.979345321655273,10.031332969665527,121.8046875,1101.5
2016-02-12,193999.0,29.440000534057617,1239.0999755859375,444.25,1.965999960899353,10.226068496704102,10.06933307647705,121.3125,1076.5
2016-02-16,193465.0,29.040000915527344,1207.9000244140625,450.75,1.902999997138977,10.459808349609375,10.344667434692383,121.234375,1084.0
2016-02-17,195903.0,30.65999984741211,1211.0999755859375,454.0,1.9420000314712524,11.219459533691406,11.245332717895508,121.0,1104.0
2016-02-18,196025.0,30.770000457763672,1226.0999755859375,453.25,1.8519999980926514,11.102588653564453,11.118000030517578,121.234375,1086.0
2016-02-19,197310.0,29.639999389648438,1230.4000244140625,457.0,1.8040000200271606,11.135050773620605,11.10533332824707,121.140625,1102.0
2016-02-22,198650.0,31.479999542236328,1209.5,453.75,1.8209999799728394,11.511628150939941,11.849332809448242,121.0390625,1070.5
2016-02-23,196502.0,31.8700008392334,1222.300048828125,446.25,1.781999945640564,11.25191879272461,11.814000129699707,121.1484375,1059.5
2016-02-24,196511.0,32.150001525878906,1238.699951171875,442.75,1.777999997138977,11.44021224975586,11.933333396911621,121.1875,1066.0
2016-02-25,198899.0,33.06999969482422,1238.199951171875,446.25,1.7109999656677246,11.524618148803711,12.495332717895508,121.46875,1043.5
2016-02-26,198191.0,32.779998779296875,1219.800048828125,442.5,1.7910000085830688,11.654472351074219,12.689332962036133,121.0078125,1039.0
2016-02-29,202555.0,33.75,1233.9000244140625,445.0,1.7109999656677246,11.485661506652832,12.795332908630371,121.1015625,1049.5
2016-03-01,205500.0,34.400001525878906,1230.300048828125,437.5,1.7419999837875366,12.031051635742188,12.423333168029785,120.6484375,1037.0
2016-03-02,205500.0,34.65999984741211,1241.0999755859375,443.0,1.6779999732971191,11.90768814086914,12.555999755859375,120.5234375,1024.0
2016-03-03,206000.0,34.56999969482422,1257.4000244140625,454.5,1.6390000581741333,11.881715774536133,13.049332618713379,120.609375,1026.0
2016-03-04,207945.0,35.91999816894531,1269.9000244140625,457.75,1.6660000085830688,12.07000732421875,13.402667045593262,120.328125,1026.5
2016-03-07,208500.0,37.900001525878906,1263.199951171875,459.75,1.690000057220459,12.466066360473633,13.685999870300293,120.15625,1045.5
2016-03-08,207989.0,36.5,1262.0999755859375,460.25,1.7120000123977661,11.992093086242676,13.506667137145996,120.4765625,1029.5
2016-03-09,209250.0,38.290000915527344,1256.5999755859375,465.25,1.7519999742507935,12.251801490783691,13.914667129516602,120.3125,1014.0
2016-03-10,209120.0,37.84000015258789,1272.0,472.75,1.7879999876022339,12.699800491333008,13.678667068481445,120.0625,1010.5
2016-03-11,211600.0,38.5,1258.699951171875,472.5,1.8220000267028809,12.855628967285156,13.833333015441895,119.8828125,1009.5
2016-03-14,210300.0,37.18000030517578,1244.4000244140625,477.0,1.819000005722046,12.927047729492188,14.34333324432373,119.890625,1010.5
2016-03-15,211070.0,36.34000015258789,1230.4000244140625,489.0,1.8509999513626099,12.855628967285156,14.555999755859375,119.8359375,1037.0
2016-03-16,210200.0,38.459999084472656,1229.300048828125,483.75,1.8680000305175781,13.017949104309082,14.795332908630371,120.3046875,1048.5
2016-03-17,213600.0,40.20000076293945,1264.5,470.75,1.9359999895095825,13.336091041564941,15.092000007629395,120.453125,1054.5
2016-03-18,213330.0,39.439998626708984,1253.800048828125,469.5,1.906999945640564,13.368556022644043,15.515999794006348,120.6640625,1045.0
2016-03-21,213300.0,39.90999984741211,1243.800048828125,474.75,1.8279999494552612,13.712669372558594,15.887999534606934,120.484375,1037.5
2016-03-22,213400.0,41.45000076293945,1248.199951171875,476.75,1.8630000352859497,13.764612197875977,15.616000175476074,120.3203125,1040.5
2016-03-23,211370.0,39.790000915527344,1223.699951171875,472.25,1.7940000295639038,13.602296829223633,14.838666915893555,120.6328125,1030.5
2016-03-24,210530.0,39.459999084472656,1221.4000244140625,471.75,1.805999994277954,13.290640830993652,15.183333396911621,120.53125,1026.5
2016-03-28,212125.0,39.38999938964844,1219.9000244140625,477.0,1.8480000495910645,13.290640830993652,15.350666999816895,120.6484375,1019.0
2016-03-29,212800.0,38.279998779296875,1235.5999755859375,481.75,1.902999997138977,13.485424041748047,15.342000007629395,121.03125,1006.5
2016-03-30,214035.0,38.31999969482422,1226.9000244140625,465.75,1.996000051498413,13.550348281860352,15.12600040435791,121.1875,1003.0
2016-03-31,213450.0,38.34000015258789,1234.199951171875,476.25,1.9589999914169312,13.3425874710083,15.317999839782715,121.34375,969.0
2016-04-01,215740.0,36.790000915527344,1222.199951171875,477.75,1.9559999704360962,13.323108673095703,15.839332580566406,121.03125,975.5
2016-04-04,215060.0,35.70000076293945,1218.0,475.25,1.9980000257492065,12.98548698425293,16.465999603271484,121.1171875,980.0
2016-04-05,212340.0,35.88999938964844,1228.4000244140625,473.5,1.9539999961853027,12.978991508483887,17.031333923339844,121.3359375,979.0
2016-04-06,212990.0,37.75,1222.5,461.25,1.9110000133514404,12.907571792602539,17.69466781616211,121.265625,974.5
2016-04-07,211401.0,37.2599983215332,1236.199951171875,454.25,2.0179998874664307,12.875110626220703,17.14666748046875,121.5703125,985.0
2016-04-08,211705.0,39.720001220703125,1242.5,460.0,1.9900000095367432,12.842642784118652,16.67133331298828,121.4765625,995.0
2016-04-11,211660.0,40.36000061035156,1256.699951171875,443.75,1.9119999408721924,13.180266380310059,16.661333084106445,121.4921875,984.5
2016-04-12,213700.0,42.16999816894531,1259.4000244140625,447.25,2.003999948501587,13.881481170654297,16.521333694458008,121.203125,978.5
2016-04-13,216130.0,41.7599983215332,1246.800048828125,454.5,2.0360000133514404,13.758122444152832,16.968666076660156,121.203125,989.0
2016-04-14,215600.0,41.5,1225.0,455.0,1.9700000286102295,13.699686050415039,16.790666580200195,121.09375,1022.0
2016-04-15,215110.0,40.36000061035156,1233.0999755859375,457.75,1.9019999504089355,13.595802307128906,16.96733283996582,121.2421875,1031.5
2016-04-18,216650.0,39.779998779296875,1233.5999755859375,464.75,1.940000057220459,14.011336326599121,16.92533302307129,121.1484375,1026.0
2016-04-19,219000.0,41.08000183105469,1253.0,476.75,2.0880000591278076,15.06316089630127,16.4913330078125,121.0234375,1036.0
2016-04-20,218928.0,42.630001068115234,1253.199951171875,493.25,2.069000005722046,15.167044639587402,16.6646671295166,120.6484375,1065.0
2016-04-21,217460.0,43.18000030517578,1249.0,488.5,2.068000078201294,14.55672550201416,16.55266761779785,120.5859375,1066.5
2016-04-22,219038.0,43.72999954223633,1228.699951171875,461.75,2.140000104904175,14.095744132995605,16.916667938232422,120.5,1049.0
2016-04-25,219278.0,42.63999938964844,1238.9000244140625,462.5,2.062999963760376,13.608787536621094,16.788000106811523,120.453125,1083.5
2016-04-26,220340.0,44.040000915527344,1242.199951171875,466.25,2.0320000648498535,13.71916389465332,16.916000366210938,120.328125,1095.0
2016-04-27,221430.0,45.33000183105469,1249.199951171875,464.0,1.9950000047683716,14.402084350585938,16.764667510986328,120.6328125,1083.5
2016-04-28,219120.0,46.029998779296875,1265.5,461.0,2.078000068664551,14.284995079040527,16.513999938964844,120.8203125,1073.5
2016-04-29,219000.0,45.91999816894531,1289.199951171875,465.25,2.177999973297119,14.346979141235352,16.05066680908203,120.9140625,1084.0
2016-05-02,220253.0,44.779998779296875,1294.699951171875,461.0,2.0420000553131104,14.367639541625977,16.1200008392334,120.7109375,1106.0
2016-05-03,217354.0,43.650001525878906,1290.699951171875,442.0,2.0859999656677246,14.333203315734863,15.48799991607666,121.046875,1117.0
2016-05-04,216515.0,43.779998779296875,1273.300048828125,444.0,2.1410000324249268,14.333203315734863,14.837332725524902,121.1328125,1117.5
2016-05-05,215880.0,44.31999969482422,1271.4000244140625,440.25,2.0759999752044678,14.505399703979492,14.10200023651123,121.2890625,1112.0
2016-05-06,217000.0,44.65999984741211,1292.9000244140625,441.0,2.1010000705718994,14.601826667785645,14.328666687011719,121.1796875,1121.0
2016-05-09,214430.0,43.439998626708984,1265.5999755859375,433.75,2.0980000495910645,13.802858352661133,13.928000450134277,121.3515625,1099.0
2016-05-10,216975.0,44.65999984741211,1263.9000244140625,436.75,2.1579999923706055,14.126577377319336,13.912667274475098,121.34375,1117.0
2016-05-11,214468.0,46.22999954223633,1274.5999755859375,431.5,2.1730000972747803,14.67758846282959,13.93066692352295,121.3515625,1126.5
2016-05-12,214860.0,46.70000076293945,1270.300048828125,438.75,2.1549999713897705,14.663813591003418,13.8186674118042,121.1328125,1159.5
2016-05-13,212140.0,46.209999084472656,1271.9000244140625,444.75,2.0959999561309814,14.477842330932617,13.840666770935059,121.296875,1148.5
2016-05-16,212530.0,47.720001220703125,1273.4000244140625,453.5,2.0290000438690186,14.712028503417969,13.88599967956543,121.0234375,1193.0
2016-05-17,210695.0,48.310001373291016,1276.199951171875,457.75,2.0480000972747803,14.567384719848633,13.644000053405762,120.8984375,1211.0
2016-05-18,212200.0,48.189998626708984,1273.699951171875,456.75,2.000999927520752,13.85795783996582,14.07800006866455,120.2734375,1214.5
2016-05-19,211180.0,48.15999984741211,1254.199951171875,448.0,2.0390000343322754,14.526061058044434,14.347332954406738,120.4453125,1184.5
2016-05-20,212833.0,47.75,1252.4000244140625,449.0,2.062000036239624,15.676298141479492,14.685333251953125,120.453125,1177.0
2016-05-23,212210.0,48.08000183105469,1251.0999755859375,447.0,2.055000066757202,15.779611587524414,14.414667129516602,120.453125,1161.5
2016-05-24,215650.0,48.619998931884766,1228.9000244140625,446.5,1.9800000190734863,15.19416332244873,14.52733325958252,120.34375,1157.0
2016-05-25,216185.0,49.560001373291016,1223.5,451.0,1.9919999837875366,15.338805198669434,14.638667106628418,120.3125,1123.5
2016-05-26,214600.0,49.47999954223633,1220.0999755859375,462.25,1.9630000591278076,15.235489845275879,15.008000373840332,120.59375,1106.0
2016-05-27,214303.0,49.33000183105469,1213.800048828125,459.75,2.1689999103546143,15.187273979187012,14.869333267211914,120.515625,1076.5
2016-05-31,211695.0,49.099998474121094,1214.800048828125,447.25,2.2880001068115234,15.125287055969238,14.881999969482422,120.546875,1094.0
2016-06-01,212360.0,49.0099983215332,1211.9000244140625,456.0,2.38100004196167,14.959982872009277,14.637332916259766,120.40625,1099.5
2016-06-02,212355.0,49.16999816894531,1209.800048828125,464.5,2.4049999713897705,15.435229301452637,14.597332954406738,120.5546875,1137.0
2016-06-03,211615.0,48.619998931884766,1240.0999755859375,474.0,2.3980000019073486,15.696958541870117,14.599332809448242,121.1953125,1137.0
2016-06-06,212880.0,49.689998626708984,1244.5999755859375,481.25,2.4660000801086426,16.695667266845703,14.711999893188477,121.171875,1170.5
2016-06-07,212210.0,50.36000061035156,1244.4000244140625,485.0,2.4739999771118164,16.85408592224121,15.489333152770996,121.2421875,1174.0
